"","annus_accipere_ire_amicus_tenere_currere_regere","stare_pes_eumolpus_iterum_ingens_extra_metiri","hodie_nemo_fortunare_maga_amare_dominus_caelus","sanguis_an_adhuc_quidam_cenare_amicus_temptare","deinde_numquid_lacrima_mors_ab_timere_peccare","vinum_supra_metiri_perfundere_aqua_potio_medius","movere_giton_vultus_causa_relinquere_ars_parere","nasci_alter_aureus_afferre_duo_notare_ovare","planus_dormire_pater_occidere_pro_aurum_relinquere","nox_frater_intellegere_ascyltos_pati_vir_descendere","vultus_postquam_pectus_gaudium_mens_gladium_nunc","ante_mulier_diligens_iacere_ascyltos_uter_longus","locus_tantus_fugere_frater_loqui_amare_secretus","pro_causa_legere_ducere_fides_poena_vulnus","eumolpus_navis_iuvenis_navigium_damnare_littera_placere","pes_afferre_implere_gratia_fortunare_post_cervix","extra_turbare_imponere_vocare_gitona_frons_carmen","vocare_noster_ancilla_hinc_puella_quia_vox","perire_mare_fluctus_vincere_vovere_litus_terra","terra_arma_tellus_petere_orbis_bellus_caelus"
"dominus",2.24029392656317e-05,2.27339895878328e-05,0.0153563124409127,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,0.00280267502844299,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.00893519755395256,0.010513073950939,0.00615865428807795,3.1068443781651e-05,3.18603243381018e-05,0.00172664793310086
"duo",0.00674328471895513,2.27339895878328e-05,2.5551268620487e-05,0.00130645285242206,2.57155347545452e-05,0.00665129713543737,2.65343487144108e-05,0.0164490790157922,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,0.00739605740047735,2.96850417074836e-05,0.00452271842333843,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"eumolpus",2.24029392656317e-05,0.0159365267010708,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,2.84195867792082e-05,2.94663641453281e-05,0.0267462225784427,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"locus",2.24029392656317e-05,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,0.00666012152731711,2.73695158332649e-05,2.77492577073563e-05,0.00558535026537361,2.81396853983172e-05,2.8379260436473e-05,0.0227640890101458,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,0.0107546649508227,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"ante",2.24029392656317e-05,0.0079796303453293,2.5551268620487e-05,0.00386812511207316,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.0042490924951459,0.0255697136532622,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"frater",2.24029392656317e-05,2.27339895878328e-05,0.00385824156169354,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,0.0208686470114208,2.81396853983172e-05,2.8379260436473e-05,0.0185011509932646,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"giton",2.24029392656317e-05,0.00684293086593766,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,0.018600578448802,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,0.00143512395531418,0.00428526832590743,2.84195867792082e-05,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,0.0107546649508227,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"immo",0.00674328471895513,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,0.00797625672416991,0.00400668665587603,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.0128172336374229,2.94663641453281e-05,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,0.0111829738426737,3.3855841825507e-05
"nemo",2.24029392656317e-05,2.27339895878328e-05,0.0191890027339857,2.5616722596511e-05,0.00516882248566359,0.00797625672416991,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.00287037826470003,0.00592273919321095,2.96850417074836e-05,2.99517776380028e-05,3.06400710849649e-05,3.1068443781651e-05,3.18603243381018e-05,3.3855841825507e-05
"noster",0.00450299079239196,2.27339895878328e-05,2.5551268620487e-05,2.5616722596511e-05,2.57155347545452e-05,2.64991917746509e-05,2.65343487144108e-05,2.73695158332649e-05,2.77492577073563e-05,2.77878122655403e-05,2.81396853983172e-05,2.8379260436473e-05,0.00855429562054168,2.94663641453281e-05,2.96850417074836e-05,0.010513073950939,3.06400710849649e-05,0.0217789790909373,3.18603243381018e-05,3.3855841825507e-05
