"","form","lemmata"
"βίῃ","βίῃ","βία;βιόω"
"βίην","βίην","βία;βιάω"
"βιοῖο","βιοῖο","βιάω;βιός;βιόω"
"βουλάς","βουλάς","βουλή"
"βουλὰς","βουλὰς","βουλή"
"βούλεται","βούλεται","βούλομαι"
"βουλεύσαντε","βουλεύσαντε","βουλεύω"
"βουλέων","βουλέων","βουλεύς;βουλή"
"βουλή","βουλή","βουλή"
"βουλὴν","βουλὴν","βουλή"
"βουληφόρος","βουληφόρος","βουληφόρος"
"βούλομ̓","βούλομ̓","βούλομ̓"
"βούλομαι","βούλομαι","βούλομαι"
"βοῦς","βοῦς","βοῦς"
"βοῶπις","βοῶπις","βοῶπις"
"βριάρεων","βριάρεων","βριάρεων"
"βρισηΐδα","βρισηΐδα","βρισηΐδα"
"βρισηΐδος","βρισηΐδος","βρισηΐδος"
"βρισῆος","βρισῆος","βρισῆος"
"βροτοί","βροτοί","βροτόομαι;βροτός"
"βωμόν","βωμόν","βωμός"
"βωμὸν","βωμὸν","βωμός"
"βωτιανείρῃ","βωτιανείρῃ","βωτιάνειρα"
"γ̓","γ̓","γ̓"
"γαῖαν","γαῖαν","γαῖα"
"γαίῃ","γαίῃ","γαῖα"
"γαίης","γαίης","γαῖα"
"γαίων","γαίων","γάιος;γαίω;γαιόω"
"γάρ","γάρ","γάρ"
"γὰρ","γὰρ","γάρ"
"γε","γε","γε"
"γείνατο","γείνατο","γείνομαι"
"γέλως","γέλως","γέλως"
"γενεαὶ","γενεαὶ","γενεά"
"γένετ̓","γένετ̓","γένετ̓"
"γένηται","γένηται","γίγνομαι"
"γένοντο","γένοντο","γίγνομαι"
"γεραιὸς","γεραιὸς","γεραιός"
"γέρας","γέρας","γέρας"
"γέρον","γέρον","γέρων"
"γέροντι","γέροντι","γέρων"
"γέροντος","γέροντος","γέρων"
"γέρων","γέρων","γέρων"
"γηθήσαι","γηθήσαι","γηθέω"
"γήθησεν","γήθησεν","γηθέω"
"γῆρας","γῆρας","γῆρας"
"γλαυκῶπις","γλαυκῶπις","γλαυκῶπις"
"γλυκίων","γλυκίων","γλύκιος;γλυκύς"
"γλυκὺ","γλυκὺ","γλυκύς"
"γλυκὺς","γλυκὺς","γλυκύς"
"γλώσσης","γλώσσης","γλῶσσα"
"γνῷ","γνῷ","γιγνώσκω"
"γνώωσι","γνώωσι","γιγνώσκω"
"γουνάσομαι","γουνάσομαι","γουνάζομαι"
"γούνων","γούνων","γόνυ"
"γυναικὸς","γυναικὸς","γυνή"
"γυνὴ","γυνὴ","γυνή"
"δ̓","δ̓","δ̓"
"δαίμονας","δαίμονας","δαίμων"
"δαιμονίη","δαιμονίη","δαιμόνιος;δαιμονιάω"
"δαίνυντ̓","δαίνυντ̓","δαίνυντ̓"
"δαῖτα","δαῖτα","δαίς;δαίτης"
"δαιτὸς","δαιτὸς","δαίς"
"δάκρυ","δάκρυ","δάκρυον"
"δάκρυα","δάκρυα","δάκρυον"
"δακρύσας","δακρύσας","δακρύω"
"δαμᾷ","δαμᾷ","δαμάω;δαμάζω"
"δαναοὶ","δαναοὶ","δαναοὶ"
"δαναοῖσι","δαναοῖσι","δαναοῖσι"
"δαναοῖσιν","δαναοῖσιν","δαναοῖσιν"
"δαναῶν","δαναῶν","δαναῶν"
"δασμὸς","δασμὸς","δασμός"
"δάσσαντο","δάσσαντο","δατέομαι"
"δέ","δέ","δέ"
"δὲ","δὲ","δέ"
"δέδασται","δέδασται","δατέομαι"
"δείδοικα","δείδοικα","δείδω"
"δειλός","δειλός","δειλός"
"δεινὴ","δεινὴ","δεινός"
"δεινὼ","δεινὼ","δεινός"
"δεκάτῃ","δεκάτῃ","δέκατος;δεκάτη"
"δέμας","δέμας","δέμας"
"δέξασθαι","δέξασθαι","δέχομαι;δείκνυμι"
"δέξατο","δέξατο","δέχομαι;δείκνυμι"
"δεξιτερῇ","δεξιτερῇ","δεξιτερός"
"δέος","δέος","δέος"
"δεπάεσσιν","δεπάεσσιν","δέπας"
"δέπας","δέπας","δέπας"
"δερκομένοιο","δερκομένοιο","δέρκομαι"
"δεσμῶν","δεσμῶν","δέσμη;δεσμέω;δεσμεύω;δεσμός;δσμεύω"
"δευόμενον","δευόμενον","δέω;δεύομαι;δεύω"
"δεῦρο","δεῦρο","δεῦρο"
