"","form","lemmata"
"certus","certus","certus"
"cervam","cervam","cerva"
"cervical","cervical","cervical"
"cervicalia","cervicalia","cervical"
"cervicalibus","cervicalibus","cervical"
"cervice","cervice","cervix"
"cervices","cervices","cervix"
"cervicibus","cervicibus","cervix"
"cetera","cetera","cetera;ceterus"
"ceteri","ceteri","ceterus"
"ceterum","ceterum","ceterum;ceterus"
"chiam","chiam","chiam"
"chiramaxio","chiramaxio","chiramaxium"
"choraulas","choraulas","choraula;choraules;choraule"
"choraulen","choraulen","choraules;choraule"
"choro","choro","chorus"
"chorum","chorum","chorus"
"chrysanthus","chrysanthus","chrysanthus"
"cibaria","cibaria","cibaria;cibarium;cibarius"
"cibo","cibo","cibare;cibus"
"cibos","cibos","cibus"
"cibum","cibum","cibus"
"cicaro","cicaro","cicaro"
"cicaronem","cicaronem","cicaro"
"cicer","cicer","cicer"
"ciceronem","ciceronem","ciceronem"
"ciconia","ciconia","ciconia"
"cidere","cidere","cidere"
"cilcitore","cilcitore","cilcitore"
"cineres","cineres","cinis"
"cingillo","cingillo","cingillum"
"cingulo","cingulo","cingulum;cingulus"
"cinnamus","cinnamus","cinnamus"
"circa","circa","circare;circa"
"circaque","circaque","circare;circa"
"circensibus","circensibus","circenses;circensis"
"circulatores","circulatores","circulator"
"circuli","circuli","circulus"
"circulis","circulis","circulus"
"circulo","circulo","circulare;circulus"
"circulos","circulos","circulus"
"circulus","circulus","circulus"
"circumdatam","circumdatam","circumdare"
"circumeuntem","circumeuntem","circumire"
"circumferebat","circumferebat","circumferre"
"circumferens","circumferens","circumferre"
"circumferri","circumferri","circumferre"
"circumibat","circumibat","circumire"
"circumlata","circumlata","circumferre"
"circumlatae","circumlatae","circumferre"
"circumlatum","circumlatum","circumferre"
"circumminxero","circumminxero","circumminxero"
"circumminxit","circumminxit","circumminxit"
"circumspicere","circumspicere","circumspicere"
"circumspicias","circumspicias","circumspicere"
"circumtulit","circumtulit","circumferre"
"cirrata","cirrata","cirratus"
"cisternae","cisternae","cisterna"
"citius","citius","citus"
"cito","cito","cire;citare;cito;citus;ciere"
"civis","civis","civis"
"clamabat","clamabat","clamare"
"clamamus","clamamus","clamare"
"clamante","clamante","clamare"
"clamavit","clamavit","clamare"
"clames","clames","clamare"
"clamo","clamo","clamare"
"clamor","clamor","clamare;clamor"
"clamore","clamore","clamor"
"clamorem","clamorem","clamor"
"clara","clara","clarare;clarus"
"classe","classe","classis"
"classis","classis","classis"
"clausus","clausus","claudere"
"clavo","clavo","clavare;clavus"
"clibano","clibano","clibanus"
"cliens","cliens","cliens"
"clinium","clinium","clinium"
"clivo","clivo","clivus"
"clivum","clivum","clivus"
"cluso","cluso","cludere"
"coacti","coacti","cogere"
"coactus","coactus","cogere;coactus"
"coccina","coccina","coccinum;coccinus"
"coccineo","coccineo","coccineum;coccineus"
