"","form","lemmata"
"artificii","artificii","artificium<n>"
"artificium","artificium","artifex<adj>;artificium<n>"
"ascendere","ascendere","ascendere<v>"
"asciam","asciam","ascire<v>;ascia<n>;ascius<adj>"
"ascylti","ascylti","ascylti"
"ascylton","ascylton","ascylton"
"ascyltos","ascyltos","ascyltos"
"asellum","asellum","asellus<n>"
"asellus","asellus","asellus<n>"
"asia","asia","asia<n>"
"asiadis","asiadis","asiadis"
"asinum","asinum","asinus<n>"
"asinus","asinus","asinus<n>"
"asse","asse","assis<n>;assus<adj>;as<n>"
"assem","assem","assare<v>;assis<n>;as<n>"
"assentemur","assentemur","assentari<v>"
"assignari","assignari","assignare<v>"
"assurgere","assurgere","assurgere<v>"
"at","at","at<prep>;at<conj>"
"atellaniam","atellaniam","atellaniam"
"atellanicos","atellanicos","atellanicos"
"athana","athana","athana"
"athenis","athenis","athenis"
"athla","athla","athla<n>;athlon<n>"
"atque","atque","atque<conj>;at<prep>;at<conj>"
"atqui","atqui","atqui<conj>"
"atriense","atriense","atriensis<n>"
"atriensem","atriensem","atriensis<n>"
"atriensis","atriensis","atriensis<n>"
"atrio","atrio","atrium<n>"
"atticum","atticum","atticum"
"attinet","attinet","attinere<v>"
"attonitis","attonitis","attonare<v>;attonitus<adj>"
"attulerit","attulerit","adferre<v>;afferre<v>"
"attulerunt","attulerunt","adferre<v>;afferre<v>"
"attuli","attuli","adferre<v>;afferre<v>;attulere<v>"
"attulit","attulit","adferre<v>;afferre<v>;attulere<v>"
"au","au","au<intj>"
"auctionem","auctionem","auctio<n>"
"aucupes","aucupes","auceps<n>;aucupare<v>"
"audacter","audacter","audacter<adv>"
"audaculum","audaculum","audaculus<adj>"
"audimus","audimus","audire<v>"
"audivi","audivi","audire<v>"
"audivit","audivit","audire<v>"
"auferet","auferet","auferre<v>"
"auferre","auferre","auferre<v>"
"auferretur","auferretur","auferre<v>"
"aufert","aufert","auferre<v>"
"augustali","augustali","augustali"
"augusto","augusto","augustare<v>;augustus<adj>"
"aurea","aurea","aureus<adj>"
"aureae","aureae","aureus<adj>"
"auream","auream","aureus<adj>"
"aureas","aureas","aureus<adj>"
"aureis","aureis","aureus<adj>;aureus<n>"
"aurem","aurem","aurare<v>;auris<n>"
"aureo","aureo","aureus<adj>;aureus<n>"
"aureolam","aureolam","aureolus<adj>"
"aureos","aureos","aureus<adj>;aureus<n>"
"aures","aures","aurare<v>;auris<n>"
"aureum","aureum","aureus<adj>;aureus<n>"
"auri","auri","auris<n>;aurum<n>"
"auriculas","auriculas","auricula<n>"
"aurum","aurum","aurum<n>"
"aut","aut","aut<conj>"
"autem","autem","autem<conj>"
"automatum","automatum","automatum<n>;automatus<adj>"
"autopyrum","autopyrum","autopyrus<n>"
"ave","ave","avere<v>;ave<intj>;avis<n>;avos<n>;avus<n>;a<prep>;a<intj>"
"aves","aves","avere<v>;avis<n>"
"avidius","avidius","avidus<adj>"
"avis","avis","ava<n>;avis<n>;avos<n>;avus<n>"
"avium","avium","avis<n>;avium<n>;avius<adj>"
"avocatus","avocatus","avocare<v>"
"babae","babae","babae<intj>"
"babaecalis","babaecalis","babaecalus<n>"
"babylonico","babylonico","babylonico"
"bacalusias","bacalusias","bacalusiae<n>"
"bacam","bacam","baca<n>"
"bacciballum","bacciballum","bacciballum"
"baias","baias","baia<n>"
"balatum","balatum","balare<v>;balatus<n>"
"baliscus","baliscus","baliscus<adj>;baliscus<n>"
"balnea","balnea","balneare<v>;balnea<n>;balneum<n>"
"balneatoris","balneatoris","balneator<n>"
"balnei","balnei","balneum<n>;balneus<n>"
"balneo","balneo","balneare<v>;balneum<n>;balneus<n>"
"balneum","balneum","balneum<n>;balneus<n>"
"balneus","balneus","balneus<n>"
"barbam","barbam","barba<n>"
"barbariae","barbariae","barbaria<n>"
"barbatoriam","barbatoriam","barbatoria<n>"
"barbatum","barbatum","barbatus<adj>;barbatus<n>"
"barbatus","barbatus","barbatus<adj>;barbatus<n>"
"barcalae","barcalae","barcala<n>"
"baro","baro","baro<n>"
"basia","basia","basiare<v>;basium<n>"
"basiarent","basiarent","basiare<v>"
"basiavi","basiavi","basiare<v>"
"basiavit","basiavit","basiare<v>"
"basiet","basiet","basiare<v>"
"basilica","basilica","basilica<n>;basilice<n>;basilicon<n>;basilicum<n>;basilicus<adj>"
"beatior","beatior","beatus<adj>"
"beatitudo","beatitudo","beatitudo<n>"
"bella","bella","bellare<v>;bellum<n>;bellus<adj>"
"belle","belle","belle<adv>;bellus<adj>"
"belli","belli","bellis<n>;bellum<n>;bellus<adj>"
"bellissimum","bellissimum","bellus<adj>"
"bellum","bellum","bellum<n>;bellus<adj>"
"bellus","bellus","bellus<adj>"
"bene","bene","bene<adv>;bonus<adj>"
"beneficio","beneficio","beneficium<n>"
"beneficium","beneficium","beneficium<n>"
"benemoria","benemoria","benemoria"
"benignus","benignus","benignus<adj>"
"besalis","besalis","besalis<adj>"
"bestiae","bestiae","bestia<n>;bestius<adj>"
"bestiarios","bestiarios","bestiarius<adj>;bestiarius<n>"
"bestias","bestias","bestia<n>;bestius<adj>"
"betae","betae","beta<n>"
"betam","betam","beta<n>;betere<v>"
"biberunt","biberunt","bibere<v>"
"bibit","bibit","bibere<v>"
"bifurcum","bifurcum","bifurcum<n>;bifurcus<adj>"
"bigae","bigae","bigae<n>;biga<n>;bigus<adj>"
"bilychnis","bilychnis","bilychnis<adj>"
"bimum","bimum","bimus<adj>"
"binos","binos","bini<num>"
"bis","bis","bis<num>"
"bisaccio","bisaccio","bisaccium<n>"
"boletorum","boletorum","boletus<n>"
"bona","bona","bonum<n>;bonus<adj>"
"bonae","bonae","bonus<adj>"
"bonam","bonam","bonus<adj>"
"bonamque","bonamque","bonus<adj>"
"bonatus","bonatus","bonatus<adj>"
"boni","boni","bonum<n>;bonus<adj>"
"bonis","bonis","bonum<n>;bonus<adj>"
"bono","bono","bonum<n>;bonus<adj>"
"bonorum","bonorum","bonum<n>;bonus<adj>"
"bonum","bonum","bonum<n>;bonus<adj>"
"bonus","bonus","bonus<adj>"
"botulis","botulis","botulus<n>"
"bovem","bovem","bos<n>;bovare<v>"
"boves","boves","bos<n>;bovare<v>"
"bovis","bovis","bos<n>;bova<n>"
"brachium","brachium","brachium<n>"
"bromium","bromium","bromium"
"bublum","bublum","bublus<adj>"
"bubulae","bubulae","bubula<n>;bubulus<adj>"
"bubulci","bubulci","bubulcus<n>"
"bucca","bucca","bucca<n>"
"buccae","buccae","bucca<n>"
"buccam","buccam","bucca<n>"
"bucinatorem","bucinatorem","bucinator<n>"
"bucinus","bucinus","bucinus<n>"
"bulla","bulla","bullare<v>;bulla<n>"
"bullae","bullae","bulla<n>"
"bullatos","bullatos","bullatus<adj>"
"burdubasta","burdubasta","burdubasta<n>"
"buxea","buxea","buxeus<adj>"
"buxeos","buxeos","buxeus<adj>"
"bybliothecas","bybliothecas","bybliotheca<n>"
"c","c","c<num>"
"cacatum","cacatum","cacare<v>"
"caccabo","caccabo","caccabus<n>"
"caccabum","caccabum","caccabus<n>"
"caduceum","caduceum","caduceum<n>;caduceus<n>"
"caede","caede","caedere<v>;caedes<n>;caedis<n>"
"caedit","caedit","caedere<v>"
"caelo","caelo","caelare<v>;caelum<n>;caelus<n>"
"caelum","caelum","caelum<n>;caelus<n>"
"caelus","caelus","caelus<n>"
"caepa","caepa","caepa<n>"
"caesar","caesar","caesar"
"caesarem","caesarem","caesarem"
"caesari","caesari","caesari"
"caespes","caespes","caespes<n>"
"caespitem","caespitem","caespes<n>;caespis<n>;caespitare<v>"
"caesus","caesus","caedere<v>;caesus<n>"
"calathisco","calathisco","calathiscus<n>"
"calce","calce","calces<n>;calcis<n>;calcus<n>;calx<n>"
"calcem","calcem","calcare<v>;calces<n>;calcis<n>;calx<n>"
"calcitrosi","calcitrosi","calcitrosus<adj>"
"calculis","calculis","calculum<n>;calculus<n>"
"calda","calda","calda<n>;caldum<n>;caldus<adj>"
"caldam","caldam","calda<n>;caldus<adj>"
"caldicerebrius","caldicerebrius","caldicerebrius"
"caldum","caldum","caldum<n>;caldus<adj>;caldus<n>"
"calet","calet","calare<v>;calere<v>"
"calfacti","calfacti","calfacere<v>;calficere<v>"
"calfecit","calfecit","calfacere<v>;calficere<v>"
"calicem","calicem","calicare<v>;calix<n>"
"calicesque","calicesque","calicare<v>;calix<n>"
"caligaria","caligaria","caligaris<adj>;caligarius<adj>"
"caligas","caligas","caligare<v>;caliga<n>"
"calvae","calvae","calva<n>;calvus<adj>"
"calvum","calvum","calvus<adj>;calvus<n>"
"camellam","camellam","camella<n>"
"camera","camera","camerare<v>;camera<n>"
"cameram","cameram","camera<n>"
"cameramos","cameramos","cameramos"
"canale","canale","canale<n>;canalis<adj>;canalis<n>"
"cancer","cancer","cancer<n>"
"cancro","cancro","cancer<n>"
"cancrum","cancrum","cancer<n>"
"candelabrum","candelabrum","candelabrum<n>;candelaber<n>"
"candelabrus","candelabrus","candelabrus"
"candidas","candidas","candidare<v>;candidus<adj>"
"candidum","candidum","candidus<adj>"
"cane","cane","canere<v>;canes<n>;canis<n>;canus<adj>"
"canem","canem","canes<n>;canis<n>"
"canes","canes","canere<v>;canes<n>;canis<n>"
"caninam","caninam","caninus<adj>"
"canino","canino","caninus<adj>"
"canis","canis","canere<v>;canes<n>;canis<n>;cani<n>;canus<adj>"
"canora","canora","canorum<n>;canorus<adj>"
"cantabant","cantabant","cantare<v>"
"cantabundus","cantabundus","cantabundus<adj>"
"cantando","cantando","cantare<v>"
"cantante","cantante","cantare<v>"
"cantare","cantare","cantare<v>;cantarus<n>"
"cantaret","cantaret","cantare<v>"
"cantavit","cantavit","cantare<v>"
"cantica","cantica","cantica<n>;canticum<n>;canticus<adj>"
"cantico","cantico","canticum<n>;canticus<adj>;canticus<n>"
"canticum","canticum","canticum<n>;canticus<adj>;canticus<n>"
"canturire","canturire","canturire<v>"
"capaciorem","capaciorem","capax<adj>"
"capides","capides","capis<n>"
"capillati","capillati","capillati<n>;capillatus<adj>"
"capillatos","capillatos","capillati<n>;capillatus<adj>"
"capillatus","capillatus","capillatus<adj>"
"capillis","capillis","capillus<n>"
"capillos","capillos","capillus<n>"
"capistris","capistris","capistrum<n>;capister<n>"
"capit","capit","capere<v>"
"capite","capite","capere<v>;caput<n>"
"capitique","capitique","capitium<n>;capitum<n>;caput<n>"
"capo","capo","capo<n>;capus<n>"
"cappadocem","cappadocem","cappadocem"
"capricorno","capricorno","capricornus<n>"
"capricornum","capricornum","capricornus<n>"
"capsellam","capsellam","capsella<n>"
"captum","captum","captus<n>;capere<v>"
"capuam","capuam","capuam"
"caput","caput","caput<n>"
"cara","cara","carum<n>;carus<adj>"
"carbunculis","carbunculis","carbunculus<n>"
"carchedonios","carchedonios","carchedonios"
"cardeles","cardeles","cardeles"
"caricae","caricae","carica<n>"
"cario","cario","cario"
"carioni","carioni","carioni"
"carissime","carissime","carus<adj>"
"carminis","carminis","carmen<n>"
"carnarium","carnarium","carnarium<n>;carnarius<adj>;carnarius<n>"
"carne","carne","carnis<n>;caro<n>"
"carpe","carpe","carpere<v>"
"carpit","carpit","carpere<v>"
"carpus","carpus","carpus"
"caryotas","caryotas","caryota<n>"
"caryotis","caryotis","caryota<n>;caryotis<n>;caryotum<n>"
"casam","casam","casa<n>"
"caseum","caseum","caseus<n>"
"cassandra","cassandra","cassandra"
"castigamus","castigamus","castigare<v>"
"casula","casula","casula<n>"
"casulas","casulas","casula<n>"
"casum","casum","casus<n>"
"cataphagae","cataphagae","cataphagas<n>"
"catastropha","catastropha","catastropha<n>;catastrophe<n>"
"catellam","catellam","catella<n>"
"catena","catena","catenare<v>;catena<n>"
"catenarius","catenarius","catenarius<adj>"
"catenatio","catenatio","catenatio<n>"
"catilla","catilla","catillare<v>;catillum<n>"
"catillis","catillis","catillum<n>;catillus<n>"
"catillum","catillum","catillum<n>;catillus<n>"
"cauniarum","cauniarum","cauniarum"
"causa","causa","causare<v>;causa<n>"
"causas","causas","causare<v>;causa<n>"
"causidicum","causidicum","causidicus<n>"
"cave","cave","cavere<v>;cavus<adj>;cavus<n>"
"cavea","cavea","cavea<n>"
"caveam","caveam","cavere<v>;cavea<n>"
"ceciderat","ceciderat","cadere<v>;caedere<v>"
"ceciderit","ceciderit","cadere<v>;caedere<v>"
"cecidi","cecidi","cadere<v>;caedere<v>"
"cecidissent","cecidissent","cadere<v>;caedere<v>"
"cel","cel","cel"
"celeritatem","celeritatem","celeritas<n>"
"celerius","celerius","celer<adj>"
"cella","cella","cella<n>"
"cena","cena","cenare<v>;cena<n>;cenum<n>"
"cenabant","cenabant","cenare<v>"
"cenaculum","cenaculum","cenaculum<n>"
"cenae","cenae","cena<n>"
"cenam","cenam","cena<n>"
"cenandum","cenandum","cenare<v>;cenari<v>"
"cenantibus","cenantibus","cenare<v>;cenari<v>"
"cenare","cenare","cenare<v>;cenari<v>"
"cenarum","cenarum","cena<n>"
"cenasse","cenasse","cenare<v>"
