"","identifier","text","θίς_κήδω_πρό_ἱλάσκομαι_λαμβάνω_Κάλχας_ὁράω","καίω_θάλασσα_Χρύση_ἀμφί_ἀρήγω_ἶφι_κῦμα","ἴσος_ἀείδω_ἄλγος_ἀτιμάω_βούλομαι_πλείων_σῶς","ἐφίημι_χραισμέω_ἀχεύω_ἔρομαι_τλάω_ἔλδωρ_ὅστις","τιμάω_χολόω_ἄνθρωπος_δύο_μάλιστα_νεφεληγερέτα_πέλω","πόλις_ἱερεύς_μάντις_ἐκπέρθω_οἴχομαι_φρονέω_αἰδέομαι","ἀπειλέω_κρατερός_πότνια_προίημι_τέλλω_χερείων_χέω","ἤδη_καταδύω_ἱστίον_τοι_ἀναβαίνω_νέος_ἀγορά","τιμή_χαίρω_Πρίαμος_φωνέω_ἤτοι_κῆρυξ_οἴκαδε","κατανεύω_παύω_ἐπιπείθομαι_κράτιστος_ὅσος_μένος_μάντις","βαρύς_δῶρον_καθέζομαι_ξίφος_λήγω_μηνίω_λαμβάνω","τίκτω_αἰνός_δείδω_κέλομαι_τρέφω_ἱλάσκομαι_αἴξ","γαῖα_γλυκύς_ἕκαστος_ἱκάνω_ἀπάνευθε_Ἥφαιστος_Χρύση","ἔοικα_μένω_ἀγορά_πέμπω_τλάω_αἴξ_ἀναβαίνω","ἵνα_κνῖσα_θνήσκω_ἀπάνευθε_κῆρ_λήγω_οἶος"
"245","urn:cts:greekLit:tlg0012.tlg001:1.436@ἐκ-1.436@ἔδησαν","ἐκ δέ εὐνή βάλλω , κατά δέ πρυμνήσιος δέω ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"246","urn:cts:greekLit:tlg0012.tlg001:1.437@ἐκ-1.438@Ἀπόλλωνι","ἐκ δέ καί αὐτός βαίνω ἐπί ῥηγμίν θάλασσα , ἐκ δέ ἑκατόμβη βαίνω ἑκηβόλος Ἀπόλλων ·","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"247","urn:cts:greekLit:tlg0012.tlg001:1.439@ἐκ-1.439@ποντοπόροιο","ἐκ δέ Χρυσηίς ναῦς βαίνω ποντόπορος .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"248","urn:cts:greekLit:tlg0012.tlg001:1.440@τὴν-1.441@προσέειπεν","ὁ μέν ἔπειτα ἐπί βωμός ἄγω πολύμητις Ὀδυσσεύς πατήρ φίλος ἐν χείρ τίθημι καί μιν προσεῖπον ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"249","urn:cts:greekLit:tlg0012.tlg001:1.442@ὦ-1.445@ἐφῆκεν","ὦ Χρύσης , πρό ἐγώ πέμπω ἄναξ ἀνήρ Ἀγαμέμνων παῖς τε σύ ἄγω , Φοῖβος τε ἱερός ἑκατόμβη ῥέζω ὑπέρ Δαναοί ὄφρα ἱλάσκομαι ἄναξ , ὅς νῦν Ἀργεῖος πολύστονος κῆδος ἐφίημι .","0.469767441860465","0.00465116279069767","0.00465116279069767","0.237209302325581","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.237209302325581","0.00465116279069767"
"250","urn:cts:greekLit:tlg0012.tlg001:1.446@ὣς-1.447@φίλην","ὡς εἶπον ἐν χείρ τίθημι , ὁ δέ δέχομαι χαίρω παῖς φίλος ·","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154"
"251","urn:cts:greekLit:tlg0012.tlg001:1.447@τοὶ-1.449@ἀνέλοντο","ὁ δέ ὦκα θεός ἱερός ἑκατόμβη ἑξῆς ἵστημι εὔδμητος περί βωμός , χερνίπτομαι δέ ἔπειτα καί οὐλοχύται ἀναιρέω .","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"252","urn:cts:greekLit:tlg0012.tlg001:1.450@τοῖσιν-1.450@ἀνασχών","ὁ δέ Χρύσης μέγας εὔχομαι χείρ ἀνέχω ·","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667","0.0666666666666667"
"253","urn:cts:greekLit:tlg0012.tlg001:1.451@κλῦθί-1.452@ἀνάσσεις","κλύω ἐγώ ἀργυρότοξος , ὅς Χρύση ἀμφιβαίνω Κίλλα τε ζάθεος Τένεδος τε ἶφι ἀνάσσω ·","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"254","urn:cts:greekLit:tlg0012.tlg001:1.453@ἦ-1.454@Ἀχαιῶν","ἦ μέν δή ποτέ ἐγώ πάρος κλύω εὔχομαι , τιμάω μέν ἐγώ , μέγας δέ ἴπτομαι λαός Ἀχαιός ·","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.443478260869565","0.443478260869565","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
