"","identifier","text","amicus_mori_domus_solere_nunc_ire_supra","pes_nemo_afferre_cocus_fortunare_vocare_metiri","pectus_frons_vultus_paene_crinis_lacrima_ceterus","ab_causa_eumolpus_vultus_temptare_amare_noscere","timere_ascyltos_diligens_tantus_locus_longus_accedere","nox_pater_navis_rapere_intellegere_legere_mittere","licere_deinde_vovere_uter_adhuc_perire_vel","pro_postquam_ante_mare_uti_fidere_fluctus","giton_ecce_pes_mors_navis_iterum_ultra","alter_metiri_aureus_nasci_pendere_argenteus_circare","debere_mutare_sive_parare_carmen_placere_verbum","bellus_arma_liber_noster_loqui_caedere_nescire","tantus_anser_confundere_familia_os_ancilla_effundere","caelus_terra_tellus_vocare_pectus_supra_parere","numquid_sanguis_pro_furere_gladium_vox_damnare"
"456","urn:cts:latinLit:phi0972.phi001:53.7","annus prae inquit actuarius et ideo in ratio nondum venire","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.00465116279069767","0.469767441860465"
"457","urn:cts:latinLit:phi0972.phi001:53.8","excandescere trimalchio et quicunque inquit ego fundus emere esse niti intrare sextum mensis scire in ratio meus inferre vetuare","0.00317460317460317","0.00317460317460317","0.479365079365079","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.479365079365079","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317","0.00317460317460317"
"458","urn:cts:latinLit:phi0972.phi001:53.9","iam etiam edictare aediles recitare et saltuarius testamentum quis trimalchio cum elogiare exheredare","0.00606060606060606","0.915151515151515","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"459","urn:cts:latinLit:phi0972.phi001:53.10","iam nomen vilicus et repudiare a cilcitore iiberta in balneator contubernium deprehendere et atriensis baia relegare iam reus facere dispensator et iudicium inter cubicularius agere","0.00273972602739726","0.00273972602739726","0.550684931506849","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.413698630136986","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726","0.00273972602739726"
"460","urn:cts:latinLit:phi0972.phi001:53.11","petauristarius autem tandem venire baro insulsus cum scalae consistere puer iubere per gradus et in supra pars odarium saltare circulus deinde ardere transilire et dens amphora sustinere","0.00150375939849624","0.302255639097744","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.377443609022556","0.00150375939849624","0.302255639097744","0.00150375939849624","0.00150375939849624","0.00150375939849624"
"461","urn:cts:latinLit:phi0972.phi001:53.12","mirare hic solus trimalchio dicere ingratus artifex esse ceterus duo esse in res humanus quis libens spectare petauristarius et cornicen reliquus animal acroama tricare merus esse","0.0016260162601626","0.0016260162601626","0.245528455284553","0.0016260162601626","0.0016260162601626","0.570731707317073","0.0016260162601626","0.0016260162601626","0.0829268292682927","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0829268292682927","0.0016260162601626","0.0016260162601626"
"462","urn:cts:latinLit:phi0972.phi001:53.13","nam et comoedus inquit emere sed malle ille atellaniam facere et choraules meus iubere ferre cantare","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.915151515151515"
"463","urn:cts:latinLit:phi0972.phi001:54.1","cum magnus hic dicere gaio puer trimalchionis delabi esse conclamare familia nec parvus conviva non propter homo tam putidus quis et cervix frangere libens videre sed propter malus exire cena nere necesse habere alienus mori plorare","0.00115606936416185","0.463583815028902","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.290173410404624","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.00115606936416185","0.232369942196532"
"464","urn:cts:latinLit:phi0972.phi001:54.2","ipse trimalchio cum gravis ingemescere super brachium tanquam laedere incumbere concurrere medicus et inter prae fortunare a crinis pati cum scyphus mittere se at infe licem proclamare","0.245528455284553","0.0016260162601626","0.489430894308943","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.245528455284553","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0016260162601626","0.0016260162601626"
"465","urn:cts:latinLit:phi0972.phi001:54.3","nam puer quidem quis caedere circumire iam dudum pes noster et missio rogare malus ego esse nere hic prex per ridiculus aliquis catastropha quaerere nec enim adhuc excidere cocus ille quis oblivisci esse porcus exinterare","0.00150375939849624","0.678195488721805","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.302255639097744","0.00150375939849624","0.00150375939849624","0.00150375939849624"
"466","urn:cts:latinLit:phi0972.phi001:54.4","itare totus circumspicere triclinium coepere nere per paries automatum aliqui exire uti postquam servus verberare coepere quis brachium dominus contundere albus potus quis conchyliatus involvere lana","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.420979020979021","0.490909090909091","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0713286713286713"
"467","urn:cts:latinLit:phi0972.phi001:54.5","nec longus aberrare suspicio meus in vicis enim poena venire decernere trimalchionis quis puer iubere liber esse nere quis posse dicere tantus vir esse a servus vulnerare","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.875728155339806","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.0990291262135923","0.00194174757281553","0.00194174757281553","0.00194174757281553"
"468","urn:cts:latinLit:phi0972.phi001:55.1","comprobare ego facere et quis in praeceps res humanus esse varius sermo garrire","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.702325581395349","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.237209302325581","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"469","urn:cts:latinLit:phi0972.phi001:55.2","itare inquit trimalchio non oportet hune casus sinere inscriptio transire statim codicillus poscere et non diu cogitatio distorquere hic recitare","0.86236559139785","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.0021505376344086","0.109677419354839","0.0021505376344086","0.0021505376344086"
"470","urn:cts:latinLit:phi0972.phi001:55.3.1","quis non expectare ex transversus fieri","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"471","urn:cts:latinLit:phi0972.phi001:55.3.2","et supra ego fortunare negotium curare","0.934883720930233","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"472","urn:cts:latinLit:phi0972.phi001:55.3.3","quare dare ego vinum falerna puer","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
