"","identifier","text","ego_inquam_sum_tu_ille_Trimalchio_Et","sum_tu_aut_ego_inquam_ille_Quid","sum_neque_enim_sed_hic_suus_homo","ego_neo_quidem_meus_hic_ab_sed","inquam_ego_tu_hic_ille_sum_tam","ego_ille_hic_sum_puer_facio_is","neque_ergo_aut_hic_sed_possum_omnis","supo_manus_omnis_ille_totus_sui_atque","sum_ille_alter_de_habeo_sui_ego","suus_totus_manus_oculus_puer_Giton_autem","ego_sum_idem_manus_tamquam_do_is","sum_nos_ex_Trimalchio_jubeo_modus_suus","atque_pectus_malus_corpus_meus_dum_ante","jam_hic_sum_ipse_inter_facio_ab","atque_per_alius_totus_orbis_nox_furo"
"1712","urn:cts:latinLit:phi0972.phi001:135.8.12","conservo ops humilis casa, mitis sorbum","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.612121212121212"
"1713","urn:cts:latinLit:phi0972.phi001:135.8.13","inter odoro pendo texo corona","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.612121212121212","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606"
"1714","urn:cts:latinLit:phi0972.phi001:135.8.14","et thymbra vetus et patior uva racemis:","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.309090909090909","0.00606060606060606"
"1715","urn:cts:latinLit:phi0972.phi001:135.8.15","qualis in Actaea quondam sum hospitus terra,","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.309090909090909","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.00606060606060606","0.612121212121212"
"1716","urn:cts:latinLit:phi0972.phi001:135.8.16","dignus sacer Hecales, qui Musa loquor annus","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.469767441860465","0.469767441860465","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767","0.00465116279069767"
"1717","urn:cts:latinLit:phi0972.phi001:135.8.17","Battiadae vates mirandus trado aevum","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.0153846153846154","0.784615384615385","0.0153846153846154","0.0153846153846154"
"1718","urn:cts:latinLit:phi0972.phi001:136.1","Dum ille caro etiam paululus delibo  et dum coaequalis natales suus sinciput in carnarius furca reponit, frango sum putris sella, qui sto altitudo adiecerat, anus pondus suus deicio supo foculus mittit.","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.0013986013986014","0.420979020979021","0.0013986013986014","0.211188811188811","0.0013986013986014","0.0013986013986014","0.141258741258741","0.211188811188811","0.0013986013986014","0.0013986013986014","0.0013986013986014"
"1719","urn:cts:latinLit:phi0972.phi001:136.2","Frangitur ergo cervix cucumulae ignis modus convalesco restinguit. Vexat cubitus ipse stipes ardeo facies totus excito cinis perfundit.","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.975221238938053","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478","0.00176991150442478"
"1720","urn:cts:latinLit:phi0972.phi001:136.3","Consurrexi equidem turbo anus non sinum rideo erigo L Statimque, neo res aliqui sacrificium moraretur, ad reficio ignis in vicinia curro","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.678195488721805","0.00150375939849624","0.00150375939849624","0.0766917293233083","0.227067669172932","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624","0.00150375939849624"
"1721","urn:cts:latinLit:phi0972.phi001:136.4.1","Itaque ad cado ostiolum procedo  cum ecce tres anser sacer qui, ut puto medius dies soleo ab anus diarium exigere, impetus in ego facio foedus atque velut rabiosus stridor circumsisto trepidantem. Atque alius tunica meus lacerat, alius vinculum calceamentum resolvo atque trahit; unus etiam, dux atque magister saevitiae, non dubito crus meus serratus vexo morsu.","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.340509915014164","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.00056657223796034","0.227195467422096","0.00056657223796034","0.142209631728045","0.28385269121813"
"1722","urn:cts:latinLit:phi0972.phi001:136.5","Oblitus ito nugae pes mensula extorqueo coepio pugnax animal armo elido manu. Nec satio defunctorius ictu, mors ego anser vindicavi:","0.584466019417476","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.00194174757281553","0.390291262135922","0.00194174757281553"
"1723","urn:cts:latinLit:phi0972.phi001:136.6.1","Tales Herculea Stymphalidas ars cogo","0.00869565217391304","0.878260869565217","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304","0.00869565217391304"
"1724","urn:cts:latinLit:phi0972.phi001:136.6.2","ad caelus fugio reor, penna fluo","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.569811320754717","0.00377358490566038","0.00377358490566038","0.381132075471698","0.00377358490566038","0.00377358490566038","0.00377358490566038","0.00377358490566038"
